,loc,v(g),ev(g),iv(g),defects
0,1.1,1.4,1.4,1.4,False
1,1.0,1.0,1.0,1.0,True
2,24.0,5.0,1.0,3.0,False
3,20.0,4.0,4.0,2.0,False
4,24.0,6.0,6.0,2.0,False
5,24.0,6.0,6.0,2.0,False
6,7.0,1.0,1.0,1.0,False
7,12.0,2.0,1.0,2.0,False
8,25.0,5.0,5.0,5.0,False
9,46.0,15.0,3.0,1.0,False
10,34.0,5.0,5.0,1.0,False
11,10.0,2.0,1.0,1.0,False
12,23.0,7.0,5.0,1.0,False
13,23.0,7.0,5.0,1.0,False
14,31.0,5.0,1.0,2.0,False
15,24.0,5.0,1.0,2.0,False
16,13.0,2.0,1.0,1.0,False
17,6.0,1.0,1.0,1.0,False
18,33.0,2.0,1.0,2.0,False
19,6.0,1.0,1.0,1.0,False
20,7.0,2.0,1.0,1.0,False
21,3.0,1.0,1.0,1.0,False
22,7.0,1.0,1.0,1.0,False
23,9.0,3.0,1.0,1.0,False
24,11.0,3.0,1.0,1.0,False
25,4.0,1.0,1.0,1.0,False
26,3.0,1.0,1.0,1.0,False
27,16.0,4.0,1.0,1.0,False
28,65.0,12.0,1.0,1.0,False
29,177.0,41.0,6.0,23.0,False
30,14.0,5.0,1.0,3.0,False
31,361.0,70.0,27.0,46.0,False
32,76.0,13.0,7.0,10.0,False
33,31.0,1.0,1.0,1.0,False
34,20.0,3.0,1.0,3.0,False
35,27.0,5.0,3.0,3.0,False
36,15.0,3.0,1.0,3.0,False
37,13.0,4.0,1.0,4.0,False
38,32.0,6.0,1.0,6.0,False
39,25.0,3.0,1.0,3.0,False
40,22.0,4.0,4.0,4.0,False
41,28.0,6.0,1.0,4.0,False
42,18.0,2.0,1.0,2.0,False
43,24.0,5.0,1.0,3.0,False
44,62.0,9.0,4.0,6.0,False
45,65.0,12.0,3.0,8.0,False
46,8.0,1.0,1.0,1.0,False
47,18.0,4.0,1.0,4.0,False
48,6.0,1.0,1.0,1.0,False
49,48.0,7.0,1.0,7.0,False
50,127.0,10.0,1.0,10.0,False
51,21.0,4.0,1.0,4.0,False
52,32.0,2.0,1.0,2.0,False
53,41.0,6.0,1.0,5.0,False
54,23.0,5.0,1.0,5.0,False
55,8.0,2.0,1.0,1.0,False
56,25.0,4.0,1.0,1.0,False
57,8.0,2.0,1.0,1.0,False
58,17.0,3.0,1.0,3.0,False
59,38.0,5.0,1.0,5.0,False
60,31.0,5.0,5.0,5.0,False
61,21.0,4.0,1.0,3.0,False
62,21.0,4.0,1.0,3.0,False
63,14.0,2.0,1.0,1.0,False
64,6.0,1.0,1.0,1.0,False
65,29.0,5.0,1.0,2.0,False
66,18.0,3.0,1.0,1.0,False
67,55.0,11.0,5.0,8.0,False
68,47.0,3.0,1.0,1.0,False
69,32.0,6.0,4.0,2.0,False
70,32.0,3.0,1.0,1.0,False
71,38.0,4.0,1.0,1.0,False
72,14.0,2.0,1.0,1.0,False
73,60.0,5.0,1.0,5.0,False
74,10.0,1.0,1.0,1.0,False
75,16.0,3.0,1.0,3.0,False
76,12.0,2.0,1.0,2.0,False
77,13.0,2.0,1.0,1.0,False
78,16.0,2.0,1.0,2.0,False
79,27.0,4.0,3.0,3.0,False
80,31.0,5.0,4.0,4.0,False
81,10.0,1.0,1.0,1.0,False
82,37.0,5.0,1.0,3.0,False
83,8.0,1.0,1.0,1.0,False
84,8.0,1.0,1.0,1.0,False
85,9.0,1.0,1.0,1.0,False
86,9.0,1.0,1.0,1.0,False
87,7.0,1.0,1.0,1.0,False
88,26.0,4.0,3.0,2.0,False
89,7.0,1.0,1.0,1.0,False
90,14.0,1.0,1.0,1.0,False
91,9.0,1.0,1.0,1.0,False
92,11.0,1.0,1.0,1.0,False
93,34.0,6.0,1.0,3.0,False
94,7.0,1.0,1.0,1.0,False
95,31.0,7.0,1.0,5.0,False
96,8.0,1.0,1.0,1.0,False
97,6.0,1.0,1.0,1.0,False
98,7.0,1.0,1.0,1.0,False
99,15.0,2.0,1.0,1.0,False
100,16.0,1.0,1.0,1.0,False
101,19.0,1.0,1.0,1.0,False
102,130.0,29.0,7.0,27.0,False
103,30.0,4.0,1.0,4.0,False
104,34.0,6.0,1.0,6.0,False
105,20.0,6.0,6.0,2.0,False
106,17.0,2.0,1.0,1.0,False
107,17.0,2.0,1.0,1.0,False
108,26.0,8.0,8.0,1.0,False
109,10.0,1.0,1.0,1.0,False
110,6.0,1.0,1.0,1.0,False
111,8.0,1.0,1.0,1.0,False
112,93.0,17.0,7.0,6.0,False
113,128.0,25.0,12.0,9.0,False
114,28.0,3.0,1.0,3.0,False
115,19.0,2.0,1.0,2.0,False
116,19.0,2.0,1.0,2.0,False
117,21.0,3.0,1.0,3.0,False
118,154.0,17.0,10.0,13.0,False
119,125.0,18.0,1.0,13.0,False
120,14.0,2.0,1.0,1.0,False
121,127.0,30.0,8.0,5.0,False
122,12.0,1.0,1.0,1.0,False
123,18.0,2.0,1.0,2.0,False
124,20.0,3.0,1.0,3.0,False
125,36.0,4.0,1.0,4.0,False
126,160.0,32.0,7.0,20.0,False
127,47.0,10.0,9.0,7.0,False
128,6.0,1.0,1.0,1.0,False
129,6.0,1.0,1.0,1.0,False
130,38.0,4.0,3.0,1.0,False
131,6.0,1.0,1.0,1.0,False
132,12.0,1.0,1.0,1.0,False
133,12.0,1.0,1.0,1.0,False
134,9.0,1.0,1.0,1.0,False
135,41.0,2.0,1.0,2.0,False
136,30.0,2.0,1.0,2.0,False
137,6.0,1.0,1.0,1.0,False
138,20.0,5.0,1.0,1.0,False
139,149.0,15.0,11.0,6.0,False
140,6.0,1.0,1.0,1.0,False
141,16.0,3.0,1.0,2.0,False
142,15.0,1.0,1.0,1.0,False
143,13.0,1.0,1.0,1.0,False
144,6.0,1.0,1.0,1.0,False
145,14.0,2.0,1.0,1.0,False
146,14.0,2.0,1.0,1.0,False
147,27.0,3.0,1.0,1.0,False
148,19.0,2.0,1.0,2.0,False
149,21.0,2.0,1.0,2.0,False
150,6.0,1.0,1.0,1.0,False
151,16.0,3.0,3.0,2.0,False
152,55.0,9.0,1.0,3.0,False
153,6.0,1.0,1.0,1.0,False
154,9.0,1.0,1.0,1.0,False
155,12.0,1.0,1.0,1.0,False
156,12.0,1.0,1.0,1.0,False
157,69.0,19.0,19.0,13.0,False
158,138.0,25.0,1.0,24.0,False
159,6.0,1.0,1.0,1.0,False
160,6.0,1.0,1.0,1.0,False
161,72.0,16.0,9.0,7.0,False
162,6.0,1.0,1.0,1.0,False
163,6.0,1.0,1.0,1.0,False
164,6.0,1.0,1.0,1.0,False
165,6.0,1.0,1.0,1.0,False
166,11.0,1.0,1.0,1.0,False
167,23.0,4.0,1.0,4.0,False
168,17.0,1.0,1.0,1.0,False
169,60.0,13.0,1.0,6.0,False
170,32.0,5.0,1.0,3.0,False
171,16.0,3.0,3.0,1.0,False
172,42.0,2.0,1.0,2.0,False
173,6.0,1.0,1.0,1.0,False
174,14.0,2.0,1.0,1.0,False
175,27.0,3.0,1.0,1.0,False
176,8.0,1.0,1.0,1.0,False
177,7.0,1.0,1.0,1.0,False
178,31.0,5.0,1.0,1.0,False
179,8.0,1.0,1.0,1.0,False
180,11.0,1.0,1.0,1.0,False
181,6.0,1.0,1.0,1.0,False
182,13.0,2.0,1.0,1.0,False
183,6.0,1.0,1.0,1.0,False
184,22.0,2.0,1.0,2.0,False
185,29.0,7.0,5.0,2.0,False
186,9.0,1.0,1.0,1.0,False
187,16.0,4.0,4.0,1.0,False
188,92.0,15.0,15.0,15.0,False
189,18.0,4.0,4.0,1.0,False
190,36.0,6.0,1.0,6.0,False
191,5.0,1.0,1.0,1.0,False
